time	V(n005)
Step Information: L=25m Duty=3m  (Run: 21/44)
3.002277722889487e-03	-6.344178e-05
3.002309602682857e-03	-3.962245e-05
3.002342920526913e-03	-2.428135e-05
3.002374611391223e-03	-1.520130e-05
3.002408282383857e-03	-9.265552e-06
3.002439417439696e-03	-5.838539e-06
3.002469167061893e-03	-3.800114e-06
3.002501060040478e-03	-2.389485e-06
3.002529024987528e-03	-1.602663e-06
3.002560314393805e-03	-1.005296e-06
3.002589627216077e-03	-6.397057e-07
3.002617099135124e-03	-4.206101e-07
3.002645586381413e-03	-2.908160e-07
3.002673170952656e-03	-1.669183e-07
3.002704723896444e-03	-1.216969e-07
3.002734066899031e-03	-4.693498e-08
3.002771484944457e-03	-4.801355e-08
3.002805876373250e-03	-8.706359e-09
3.002848854243071e-03	-2.989846e-08
3.002892771442867e-03	1.180531e-09
3.002946942600594e-03	-2.430437e-08
3.003008137719988e-03	3.335153e-09
3.003087580319523e-03	-2.190970e-08
3.003187497166974e-03	7.627317e-10
3.003330219884835e-03	-1.951932e-08
3.003539938738968e-03	-3.733319e-09
3.003887505006786e-03	-1.581457e-08
3.004525537934564e-03	-7.968159e-09
3.005801603790122e-03	-1.235719e-08
3.008353735501237e-03	-1.016645e-08
3.043197775767928e-03	-1.089126e-08
3.316635275767922e-03	-1.087017e-08
3.590072775767917e-03	-1.087710e-08
3.863510275767911e-03	-1.091240e-08
4.136947775767905e-03	-1.097737e-08
4.410385275767899e-03	-1.107406e-08
4.664291525767894e-03	-1.119599e-08
4.918197775767888e-03	-1.134885e-08
4.980468750000001e-03	-1.211470e-08
4.987823198464227e-03	-1.602274e-08
4.990823198464228e-03	-1.005776e-08
4.994823198464228e-03	-7.357471e-09
4.997823198464229e-03	-8.699279e-09
4.998823198464229e-03	-3.656035e-08
4.999353603071542e-03	-4.503567e-09
5.000000000000000e-03	3.305616e-06
5.000002844145848e-03	1.088280e-04
5.000008532437544e-03	3.258899e-04
5.000015602655708e-03	5.845780e-04
5.000022380875647e-03	8.056600e-04
5.000035937315524e-03	1.178435e-03
5.000057926943592e-03	1.652121e-03
5.000088817009215e-03	2.115644e-03
5.000131706114639e-03	2.503600e-03
5.000191474655104e-03	2.773999e-03
5.000278574516921e-03	7.484688e-03
5.000412902912392e-03	1.001942e-01
5.000463572942804e-03	2.053236e-01
5.000495990683377e-03	2.572626e-01
5.000518335946457e-03	2.609861e-01
5.000541519956406e-03	2.613317e-01
5.000576150543035e-03	2.618485e-01
5.000635139805072e-03	2.620048e-01
5.000676695847823e-03	2.625628e-01
5.000722960483083e-03	2.641884e-01
5.000751768481975e-03	2.653244e-01
5.000772936976708e-03	2.653085e-01
5.000780930968811e-03	2.647980e-01
5.000788456718335e-03	2.644131e-01
5.000792111295125e-03	2.640946e-01
5.000795046473759e-03	2.639954e-01
5.000797186192524e-03	2.638302e-01
5.000799074436419e-03	2.637103e-01
5.000801011253306e-03	2.636350e-01
5.000802875832830e-03	2.635017e-01
5.000805051048181e-03	2.634341e-01
5.000807639203285e-03	2.632626e-01
5.000811003538791e-03	2.631258e-01
5.000815651788173e-03	2.628720e-01
5.000822742017722e-03	2.625554e-01
5.000832232746423e-03	2.621243e-01
5.000848712901244e-03	2.614611e-01
5.000865850061697e-03	2.608383e-01
5.000893022737902e-03	2.599975e-01
5.000921804955829e-03	2.592390e-01
5.000942435564146e-03	2.587740e-01
5.000958738783366e-03	2.584635e-01
5.000967393561560e-03	2.583113e-01
5.000982690443611e-03	2.580616e-01
5.001000000000000e-03	2.568824e-01
5.001001730955639e-03	2.573844e-01
5.001005192866917e-03	2.574970e-01
5.001012116689472e-03	2.571004e-01
5.001025964334584e-03	2.563710e-01
5.001053659624806e-03	2.551373e-01
5.001109050205251e-03	2.533304e-01
5.001219831366139e-03	2.511047e-01
5.001341212897807e-03	2.499192e-01
5.001539917496653e-03	2.492835e-01
5.001787007038706e-03	2.491353e-01
5.002218439716767e-03	2.492388e-01
5.002862830856701e-03	2.494617e-01
5.004151613136566e-03	2.499130e-01
5.006729177696297e-03	2.508134e-01
5.011884306815758e-03	2.526100e-01
5.022194565054682e-03	2.561855e-01
